operating_day,line_id,stop_id,arrival,departure,vehicle_seats,passengers,hari,day_of_week,jenis_hari,jam,jam_kategori,tanggal,occupancy_rate,cuaca,biaya_operasional,prioritas_rute,is_peak_hour
2026-01-23,LRT-02,STOP-002,2026-01-23 17:07:00,2026-01-23 17:14:00,50,70,Friday,4,Weekday,17,Sore Sibuk,2026-01-23,140.0,Berawan,750000.0,Tinggi,1
2026-01-30,BRT-01,STOP-009,2026-01-30 16:22:00,2026-01-30 16:25:00,60,49,Friday,4,Weekday,16,Sore Sibuk,2026-01-30,81.66666666666667,Cerah,750000.0,Sedang,1
2026-01-09,LRT-02,STOP-014,2026-01-09 10:09:00,2026-01-09 10:16:00,35,57,Friday,4,Weekday,10,Siang,2026-01-09,162.85714285714286,Hujan Ringan,750000.0,Tinggi,0
2026-01-08,BUS-12,STOP-011,2026-01-08 10:31:00,2026-01-08 10:39:00,80,10,Thursday,3,Weekday,10,Siang,2026-01-08,12.5,Berawan,1500000.0,Rendah,0
2026-01-14,BRT-01,STOP-002,2026-01-14 05:25:00,2026-01-14 05:34:00,80,34,Wednesday,2,Weekday,5,Dini Hari,2026-01-14,42.5,Hujan,1500000.0,Rendah,0
2026-01-04,MRT-01,STOP-010,2026-01-04 09:26:00,2026-01-04 09:29:00,60,61,Sunday,6,Weekend,9,Pagi Sibuk,2026-01-04,101.66666666666666,Hujan,750000.0,Tinggi,1
2026-01-25,BUS-07,STOP-015,2026-01-25 13:29:00,2026-01-25 13:36:00,45,17,Sunday,6,Weekend,13,Siang,2026-01-25,37.77777777777778,Hujan,750000.0,Rendah,0
2026-01-20,BRT-01,STOP-003,2026-01-20 10:45:00,2026-01-20 10:52:00,45,48,Tuesday,1,Weekday,10,Siang,2026-01-20,106.66666666666667,Hujan,750000.0,Tinggi,0
2026-01-14,BRT-02,STOP-005,2026-01-14 14:06:00,2026-01-14 14:10:00,35,21,Wednesday,2,Weekday,14,Siang,2026-01-14,60.0,Cerah,750000.0,Sedang,0
2026-01-30,BUS-07,STOP-016,2026-01-30 18:42:00,2026-01-30 18:50:00,80,68,Friday,4,Weekday,18,Sore Sibuk,2026-01-30,85.0,Hujan Ringan,1500000.0,Tinggi,1
2026-02-13,BRT-02,STOP-006,2026-02-13 09:30:00,2026-02-13 09:35:00,35,18,Friday,4,Weekday,9,Pagi Sibuk,2026-02-13,51.42857142857142,Berawan,750000.0,Rendah,1
2026-02-07,BUS-07,STOP-005,2026-02-07 13:17:00,2026-02-07 13:25:00,80,38,Saturday,5,Weekend,13,Siang,2026-02-07,47.5,Hujan Ringan,1500000.0,Rendah,0
2026-01-28,BUS-12,STOP-010,2026-01-28 14:09:00,2026-01-28 14:12:00,45,19,Wednesday,2,Weekday,14,Siang,2026-01-28,42.22222222222222,Cerah,750000.0,Rendah,0
2026-01-03,MRT-01,STOP-013,2026-01-03 10:54:00,2026-01-03 10:56:00,80,59,Saturday,5,Weekend,10,Siang,2026-01-03,73.75,Hujan,1500000.0,Sedang,0
2026-02-08,BRT-02,STOP-001,2026-02-08 21:25:00,2026-02-08 21:30:00,80,30,Sunday,6,Weekend,21,Malam,2026-02-08,37.5,Hujan,1500000.0,Rendah,0
2026-02-04,LRT-02,STOP-013,2026-02-04 11:20:00,2026-02-04 11:29:00,50,45,Wednesday,2,Weekday,11,Siang,2026-02-04,90.0,Berawan,750000.0,Tinggi,0
2026-01-18,BRT-01,STOP-002,2026-01-18 09:01:00,2026-01-18 09:04:00,80,30,Sunday,6,Weekend,9,Pagi Sibuk,2026-01-18,37.5,Hujan,1500000.0,Rendah,1
2026-02-07,BRT-01,STOP-015,2026-02-07 21:09:00,2026-02-07 21:18:00,60,64,Saturday,5,Weekend,21,Malam,2026-02-07,106.66666666666667,Hujan Ringan,750000.0,Tinggi,0
2026-01-03,BRT-02,STOP-009,2026-01-03 08:17:00,2026-01-03 08:28:00,45,64,Saturday,5,Weekend,8,Pagi Sibuk,2026-01-03,142.22222222222223,Berawan,750000.0,Tinggi,1
2026-01-23,BRT-01,STOP-003,2026-01-23 12:00:00,2026-01-23 12:04:00,80,63,Friday,4,Weekday,12,Siang,2026-01-23,78.75,Cerah,1500000.0,Sedang,0
2026-01-01,BUS-12,STOP-014,2026-01-01 17:51:00,2026-01-01 17:59:00,35,56,Thursday,3,Weekday,17,Sore Sibuk,2026-01-01,160.0,Cerah,750000.0,Tinggi,1
2026-01-27,BRT-02,STOP-013,2026-01-27 12:44:00,2026-01-27 12:46:00,80,37,Tuesday,1,Weekday,12,Siang,2026-01-27,46.25,Berawan,1500000.0,Rendah,0
2026-02-07,MRT-01,STOP-017,2026-02-07 07:04:00,2026-02-07 07:09:00,35,92,Saturday,5,Weekend,7,Pagi Sibuk,2026-02-07,262.85714285714283,Cerah,750000.0,Tinggi,1
2026-01-14,MRT-01,STOP-005,2026-01-14 07:36:00,2026-01-14 07:43:00,50,103,Wednesday,2,Weekday,7,Pagi Sibuk,2026-01-14,206.0,Berawan,750000.0,Tinggi,1
2026-02-13,MRT-01,STOP-015,2026-02-13 21:08:00,2026-02-13 21:16:00,35,59,Friday,4,Weekday,21,Malam,2026-02-13,168.57142857142858,Berawan,750000.0,Tinggi,0
2026-01-05,BRT-01,STOP-011,2026-01-05 18:23:00,2026-01-05 18:26:00,60,107,Monday,0,Weekday,18,Sore Sibuk,2026-01-05,178.33333333333334,Hujan Ringan,750000.0,Tinggi,1
2026-01-09,BUS-07,STOP-015,2026-01-09 21:34:00,2026-01-09 21:43:00,80,9,Friday,4,Weekday,21,Malam,2026-01-09,11.25,Berawan,1500000.0,Rendah,0
2026-01-01,BRT-01,STOP-004,2026-01-01 16:45:00,2026-01-01 16:51:00,45,39,Thursday,3,Weekday,16,Sore Sibuk,2026-01-01,86.66666666666667,Hujan,750000.0,Tinggi,1
2026-01-16,BUS-07,STOP-016,2026-01-16 14:06:00,2026-01-16 14:11:00,60,20,Friday,4,Weekday,14,Siang,2026-01-16,33.33333333333333,Hujan Ringan,750000.0,Rendah,0
2026-01-20,LRT-02,STOP-005,2026-01-20 07:47:00,2026-01-20 07:54:00,80,52,Tuesday,1,Weekday,7,Pagi Sibuk,2026-01-20,65.0,Cerah,1500000.0,Sedang,1
2026-01-13,BUS-12,STOP-015,2026-01-13 09:52:00,2026-01-13 09:55:00,60,49,Tuesday,1,Weekday,9,Pagi Sibuk,2026-01-13,81.66666666666667,Hujan Ringan,750000.0,Sedang,1
2026-01-03,LRT-02,STOP-006,2026-01-03 13:08:00,2026-01-03 13:13:00,45,60,Saturday,5,Weekend,13,Siang,2026-01-03,133.33333333333331,Hujan Ringan,750000.0,Tinggi,0
2026-02-11,BUS-12,STOP-010,2026-02-11 07:08:00,2026-02-11 07:12:00,80,62,Wednesday,2,Weekday,7,Pagi Sibuk,2026-02-11,77.5,Berawan,1500000.0,Sedang,1
2026-01-07,BRT-01,STOP-003,2026-01-07 13:01:00,2026-01-07 13:04:00,50,43,Wednesday,2,Weekday,13,Siang,2026-01-07,86.0,Hujan,750000.0,Tinggi,0
2026-02-07,MRT-01,STOP-015,2026-02-07 05:44:00,2026-02-07 05:49:00,50,69,Saturday,5,Weekend,5,Dini Hari,2026-02-07,138.0,Hujan Ringan,750000.0,Tinggi,0
2026-01-15,LRT-02,STOP-001,2026-01-15 22:48:00,2026-01-15 22:55:00,60,31,Thursday,3,Weekday,22,Malam,2026-01-15,51.66666666666667,Berawan,750000.0,Rendah,0
2026-01-23,BUS-12,STOP-017,2026-01-23 08:35:00,2026-01-23 08:42:00,45,82,Friday,4,Weekday,8,Pagi Sibuk,2026-01-23,182.22222222222223,Cerah,750000.0,Tinggi,1
2026-01-19,BRT-01,STOP-002,2026-01-19 10:20:00,2026-01-19 10:30:00,35,50,Monday,0,Weekday,10,Siang,2026-01-19,142.85714285714286,Hujan Ringan,750000.0,Tinggi,0
2026-01-05,BRT-01,STOP-015,2026-01-05 20:37:00,2026-01-05 20:39:00,35,52,Monday,0,Weekday,20,Malam,2026-01-05,148.57142857142858,Cerah,750000.0,Tinggi,0
2026-02-07,BUS-12,STOP-014,2026-02-07 19:53:00,2026-02-07 20:00:00,45,21,Saturday,5,Weekend,19,Sore Sibuk,2026-02-07,46.666666666666664,Cerah,750000.0,Rendah,1
2026-01-29,LRT-02,STOP-006,2026-01-29 16:45:00,2026-01-29 16:52:00,60,38,Thursday,3,Weekday,16,Sore Sibuk,2026-01-29,63.33333333333333,Hujan,750000.0,Sedang,1
2026-01-24,BUS-12,STOP-011,2026-01-24 22:25:00,2026-01-24 22:33:00,80,24,Saturday,5,Weekend,22,Malam,2026-01-24,30.0,Hujan,1500000.0,Rendah,0
2026-01-12,BRT-01,STOP-011,2026-01-12 09:09:00,2026-01-12 09:15:00,35,25,Monday,0,Weekday,9,Pagi Sibuk,2026-01-12,71.42857142857143,Berawan,750000.0,Sedang,1
2026-01-11,MRT-01,STOP-007,2026-01-11 11:20:00,2026-01-11 11:26:00,50,53,Sunday,6,Weekend,11,Siang,2026-01-11,106.0,Berawan,750000.0,Tinggi,0
2026-01-09,BRT-02,STOP-015,2026-01-09 17:36:00,2026-01-09 17:47:00,45,72,Friday,4,Weekday,17,Sore Sibuk,2026-01-09,160.0,Berawan,750000.0,Tinggi,1
2026-01-22,BRT-02,STOP-012,2026-01-22 18:29:00,2026-01-22 18:35:00,50,77,Thursday,3,Weekday,18,Sore Sibuk,2026-01-22,154.0,Berawan,750000.0,Tinggi,1
2026-01-10,LRT-02,STOP-004,2026-01-10 19:03:00,2026-01-10 19:07:00,50,40,Saturday,5,Weekend,19,Sore Sibuk,2026-01-10,80.0,Cerah,750000.0,Sedang,1
2026-02-03,BRT-02,STOP-011,2026-02-03 05:38:00,2026-02-03 05:49:00,50,24,Tuesday,1,Weekday,5,Dini Hari,2026-02-03,48.0,Hujan Ringan,750000.0,Rendah,0
2026-01-29,LRT-02,STOP-013,2026-01-29 06:28:00,2026-01-29 06:39:00,60,48,Thursday,3,Weekday,6,Pagi Sibuk,2026-01-29,80.0,Berawan,750000.0,Sedang,1
2026-01-07,BUS-12,STOP-014,2026-01-07 22:44:00,2026-01-07 22:50:00,35,45,Wednesday,2,Weekday,22,Malam,2026-01-07,128.57142857142858,Cerah,750000.0,Tinggi,0
2026-02-14,BUS-12,STOP-001,2026-02-14 19:39:00,2026-02-14 19:46:00,80,27,Saturday,5,Weekend,19,Sore Sibuk,2026-02-14,33.75,Cerah,1500000.0,Rendah,1
2026-01-05,LRT-02,STOP-010,2026-01-05 14:09:00,2026-01-05 14:11:00,35,53,Monday,0,Weekday,14,Siang,2026-01-05,151.42857142857142,Hujan Ringan,750000.0,Tinggi,0
2026-01-22,BUS-07,STOP-009,2026-01-22 13:50:00,2026-01-22 13:59:00,50,27,Thursday,3,Weekday,13,Siang,2026-01-22,54.0,Cerah,750000.0,Rendah,0
2026-01-23,LRT-02,STOP-002,2026-01-23 09:51:00,2026-01-23 10:00:00,35,47,Friday,4,Weekday,9,Pagi Sibuk,2026-01-23,134.28571428571428,Berawan,750000.0,Tinggi,1
2026-02-02,MRT-01,STOP-004,2026-02-02 06:50:00,2026-02-02 06:59:00,60,67,Monday,0,Weekday,6,Pagi Sibuk,2026-02-02,111.66666666666667,Hujan Ringan,750000.0,Tinggi,1
2026-01-31,MRT-01,STOP-005,2026-01-31 18:49:00,2026-01-31 18:57:00,60,89,Saturday,5,Weekend,18,Sore Sibuk,2026-01-31,148.33333333333334,Hujan,750000.0,Tinggi,1
2026-02-05,LRT-02,STOP-002,2026-02-05 11:52:00,2026-02-05 11:55:00,45,38,Thursday,3,Weekday,11,Siang,2026-02-05,84.44444444444444,Hujan Ringan,750000.0,Sedang,0
2026-02-12,MRT-01,STOP-010,2026-02-12 14:21:00,2026-02-12 14:24:00,60,74,Thursday,3,Weekday,14,Siang,2026-02-12,123.33333333333334,Berawan,750000.0,Tinggi,0
2026-02-12,MRT-01,STOP-012,2026-02-12 21:07:00,2026-02-12 21:12:00,60,67,Thursday,3,Weekday,21,Malam,2026-02-12,111.66666666666667,Cerah,750000.0,Tinggi,0
2026-02-14,BUS-07,STOP-015,2026-02-14 05:52:00,2026-02-14 05:56:00,80,33,Saturday,5,Weekend,5,Dini Hari,2026-02-14,41.25,Hujan Ringan,1500000.0,Rendah,0
2026-02-09,BRT-01,STOP-010,2026-02-09 16:01:00,2026-02-09 16:09:00,35,66,Monday,0,Weekday,16,Sore Sibuk,2026-02-09,188.57142857142856,Cerah,750000.0,Tinggi,1
2026-01-01,MRT-01,STOP-008,2026-01-01 06:45:00,2026-01-01 06:56:00,60,41,Thursday,3,Weekday,6,Pagi Sibuk,2026-01-01,68.33333333333333,Berawan,750000.0,Sedang,1
2026-01-15,BRT-01,STOP-010,2026-01-15 12:40:00,2026-01-15 12:49:00,45,53,Thursday,3,Weekday,12,Siang,2026-01-15,117.77777777777779,Hujan,750000.0,Tinggi,0
2026-01-05,BUS-12,STOP-015,2026-01-05 12:48:00,2026-01-05 12:57:00,35,21,Monday,0,Weekday,12,Siang,2026-01-05,60.0,Cerah,750000.0,Sedang,0
2026-01-02,LRT-02,STOP-011,2026-01-02 06:07:00,2026-01-02 06:15:00,80,32,Friday,4,Weekday,6,Pagi Sibuk,2026-01-02,40.0,Hujan Ringan,1500000.0,Rendah,1
2026-01-05,BUS-12,STOP-003,2026-01-05 17:01:00,2026-01-05 17:07:00,80,48,Monday,0,Weekday,17,Sore Sibuk,2026-01-05,60.0,Berawan,1500000.0,Sedang,1
2026-02-08,BUS-07,STOP-016,2026-02-08 18:15:00,2026-02-08 18:23:00,35,52,Sunday,6,Weekend,18,Sore Sibuk,2026-02-08,148.57142857142858,Cerah,750000.0,Tinggi,1
2026-01-02,BRT-01,STOP-014,2026-01-02 05:02:00,2026-01-02 05:13:00,35,23,Friday,4,Weekday,5,Dini Hari,2026-01-02,65.71428571428571,Berawan,750000.0,Sedang,0
2026-02-13,BRT-02,STOP-017,2026-02-13 09:36:00,2026-02-13 09:46:00,80,18,Friday,4,Weekday,9,Pagi Sibuk,2026-02-13,22.5,Berawan,1500000.0,Rendah,1
2026-02-11,BUS-07,STOP-001,2026-02-11 07:38:00,2026-02-11 07:44:00,80,72,Wednesday,2,Weekday,7,Pagi Sibuk,2026-02-11,90.0,Berawan,1500000.0,Tinggi,1
2026-01-21,BRT-01,STOP-010,2026-01-21 08:29:00,2026-01-21 08:38:00,35,75,Wednesday,2,Weekday,8,Pagi Sibuk,2026-01-21,214.28571428571428,Hujan Ringan,750000.0,Tinggi,1
2026-01-29,BUS-12,STOP-004,2026-01-29 06:08:00,2026-01-29 06:10:00,50,9,Thursday,3,Weekday,6,Pagi Sibuk,2026-01-29,18.0,Berawan,750000.0,Rendah,1
2026-01-01,BRT-01,STOP-009,2026-01-01 09:41:00,2026-01-01 09:49:00,60,67,Thursday,3,Weekday,9,Pagi Sibuk,2026-01-01,111.66666666666667,Cerah,750000.0,Tinggi,1
2026-01-03,LRT-02,STOP-013,2026-01-03 06:02:00,2026-01-03 06:08:00,35,38,Saturday,5,Weekend,6,Pagi Sibuk,2026-01-03,108.57142857142857,Hujan,750000.0,Tinggi,1
2026-01-19,MRT-01,STOP-011,2026-01-19 08:20:00,2026-01-19 08:31:00,35,80,Monday,0,Weekday,8,Pagi Sibuk,2026-01-19,228.57142857142856,Cerah,750000.0,Tinggi,1
2026-01-21,BUS-07,STOP-003,2026-01-21 14:35:00,2026-01-21 14:41:00,45,30,Wednesday,2,Weekday,14,Siang,2026-01-21,66.66666666666666,Cerah,750000.0,Sedang,0
2026-01-12,LRT-02,STOP-005,2026-01-12 22:29:00,2026-01-12 22:37:00,45,22,Monday,0,Weekday,22,Malam,2026-01-12,48.888888888888886,Hujan Ringan,750000.0,Rendah,0
2026-01-30,BUS-12,STOP-007,2026-01-30 12:08:00,2026-01-30 12:16:00,35,25,Friday,4,Weekday,12,Siang,2026-01-30,71.42857142857143,Cerah,750000.0,Sedang,0
2026-02-11,BRT-01,STOP-002,2026-02-11 13:52:00,2026-02-11 13:56:00,35,47,Wednesday,2,Weekday,13,Siang,2026-02-11,134.28571428571428,Hujan,750000.0,Tinggi,0
2026-01-14,MRT-01,STOP-008,2026-01-14 16:33:00,2026-01-14 16:44:00,60,56,Wednesday,2,Weekday,16,Sore Sibuk,2026-01-14,93.33333333333333,Hujan Ringan,750000.0,Tinggi,1
2026-01-07,BUS-12,STOP-016,2026-01-07 12:33:00,2026-01-07 12:38:00,45,2,Wednesday,2,Weekday,12,Siang,2026-01-07,4.444444444444445,Hujan Ringan,750000.0,Rendah,0
2026-01-02,MRT-01,STOP-010,2026-01-02 10:26:00,2026-01-02 10:28:00,50,70,Friday,4,Weekday,10,Siang,2026-01-02,140.0,Hujan Ringan,750000.0,Tinggi,0
2026-01-16,LRT-02,STOP-011,2026-01-16 15:32:00,2026-01-16 15:40:00,60,36,Friday,4,Weekday,15,Siang,2026-01-16,60.0,Hujan,750000.0,Sedang,0
2026-01-15,BUS-07,STOP-011,2026-01-15 09:30:00,2026-01-15 09:37:00,45,13,Thursday,3,Weekday,9,Pagi Sibuk,2026-01-15,28.888888888888886,Cerah,750000.0,Rendah,1
2026-01-24,BUS-12,STOP-003,2026-01-24 11:30:00,2026-01-24 11:40:00,50,44,Saturday,5,Weekend,11,Siang,2026-01-24,88.0,Cerah,750000.0,Tinggi,0
2026-02-11,LRT-02,STOP-006,2026-02-11 20:28:00,2026-02-11 20:32:00,60,30,Wednesday,2,Weekday,20,Malam,2026-02-11,50.0,Hujan Ringan,750000.0,Rendah,0
2026-01-24,MRT-01,STOP-015,2026-01-24 20:03:00,2026-01-24 20:05:00,50,64,Saturday,5,Weekend,20,Malam,2026-01-24,128.0,Berawan,750000.0,Tinggi,0
2026-02-07,BRT-01,STOP-003,2026-02-07 19:15:00,2026-02-07 19:21:00,35,52,Saturday,5,Weekend,19,Sore Sibuk,2026-02-07,148.57142857142858,Cerah,750000.0,Tinggi,1
2026-02-02,BRT-01,STOP-013,2026-02-02 10:24:00,2026-02-02 10:34:00,60,42,Monday,0,Weekday,10,Siang,2026-02-02,70.0,Hujan Ringan,750000.0,Sedang,0
2026-02-08,MRT-01,STOP-003,2026-02-08 12:08:00,2026-02-08 12:16:00,60,48,Sunday,6,Weekend,12,Siang,2026-02-08,80.0,Hujan Ringan,750000.0,Sedang,0
2026-01-23,LRT-02,STOP-008,2026-01-23 11:24:00,2026-01-23 11:33:00,80,69,Friday,4,Weekday,11,Siang,2026-01-23,86.25,Hujan,1500000.0,Tinggi,0
2026-01-14,BUS-07,STOP-011,2026-01-14 18:38:00,2026-01-14 18:49:00,35,53,Wednesday,2,Weekday,18,Sore Sibuk,2026-01-14,151.42857142857142,Cerah,750000.0,Tinggi,1
2026-01-16,BUS-07,STOP-013,2026-01-16 05:25:00,2026-01-16 05:28:00,45,31,Friday,4,Weekday,5,Dini Hari,2026-01-16,68.88888888888889,Berawan,750000.0,Sedang,0
2026-01-08,BUS-12,STOP-015,2026-01-08 12:54:00,2026-01-08 12:58:00,80,15,Thursday,3,Weekday,12,Siang,2026-01-08,18.75,Hujan,1500000.0,Rendah,0
2026-02-06,LRT-02,STOP-006,2026-02-06 22:46:00,2026-02-06 22:51:00,35,56,Friday,4,Weekday,22,Malam,2026-02-06,160.0,Hujan Ringan,750000.0,Tinggi,0
2026-01-04,BUS-07,STOP-003,2026-01-04 20:23:00,2026-01-04 20:34:00,35,45,Sunday,6,Weekend,20,Malam,2026-01-04,128.57142857142858,Hujan Ringan,750000.0,Tinggi,0
2026-01-14,BRT-02,STOP-004,2026-01-14 08:34:00,2026-01-14 08:38:00,80,62,Wednesday,2,Weekday,8,Pagi Sibuk,2026-01-14,77.5,Hujan Ringan,1500000.0,Sedang,1
2026-01-14,MRT-01,STOP-002,2026-01-14 08:32:00,2026-01-14 08:34:00,80,58,Wednesday,2,Weekday,8,Pagi Sibuk,2026-01-14,72.5,Hujan Ringan,1500000.0,Sedang,1
2026-01-13,BUS-12,STOP-007,2026-01-13 09:30:00,2026-01-13 09:38:00,80,29,Tuesday,1,Weekday,9,Pagi Sibuk,2026-01-13,36.25,Hujan Ringan,1500000.0,Rendah,1
2026-01-31,BUS-07,STOP-010,2026-01-31 19:03:00,2026-01-31 19:12:00,60,14,Saturday,5,Weekend,19,Sore Sibuk,2026-01-31,23.333333333333332,Cerah,750000.0,Rendah,1
2026-02-09,BUS-12,STOP-012,2026-02-09 11:29:00,2026-02-09 11:38:00,80,33,Monday,0,Weekday,11,Siang,2026-02-09,41.25,Hujan,1500000.0,Rendah,0
2026-02-08,LRT-02,STOP-015,2026-02-08 11:50:00,2026-02-08 11:53:00,50,30,Sunday,6,Weekend,11,Siang,2026-02-08,60.0,Berawan,750000.0,Sedang,0
2026-01-18,LRT-02,STOP-001,2026-01-18 11:28:00,2026-01-18 11:31:00,50,33,Sunday,6,Weekend,11,Siang,2026-01-18,66.0,Berawan,750000.0,Sedang,0
2026-01-18,BUS-12,STOP-006,2026-01-18 22:34:00,2026-01-18 22:36:00,60,17,Sunday,6,Weekend,22,Malam,2026-01-18,28.333333333333332,Cerah,750000.0,Rendah,0
2026-01-15,BRT-02,STOP-008,2026-01-15 08:37:00,2026-01-15 08:43:00,35,49,Thursday,3,Weekday,8,Pagi Sibuk,2026-01-15,140.0,Hujan,750000.0,Tinggi,1
2026-01-14,LRT-02,STOP-012,2026-01-14 07:00:00,2026-01-14 07:03:00,50,73,Wednesday,2,Weekday,7,Pagi Sibuk,2026-01-14,146.0,Berawan,750000.0,Tinggi,1
2026-01-24,BUS-07,STOP-017,2026-01-24 16:48:00,2026-01-24 16:54:00,80,43,Saturday,5,Weekend,16,Sore Sibuk,2026-01-24,53.75,Berawan,1500000.0,Rendah,1
2026-02-04,BUS-12,STOP-014,2026-02-04 16:39:00,2026-02-04 16:47:00,50,13,Wednesday,2,Weekday,16,Sore Sibuk,2026-02-04,26.0,Hujan Ringan,750000.0,Rendah,1
2026-01-21,BRT-01,STOP-012,2026-01-21 20:44:00,2026-01-21 20:50:00,35,70,Wednesday,2,Weekday,20,Malam,2026-01-21,200.0,Hujan Ringan,750000.0,Tinggi,0
